city,year,weekofyear,total_cases,week_start_date,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,reanalysis_specific_humidity_g_per_kg,reanalysis_tdtr_k,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm
sj,1990,18,4,1990-04-30,0.5782264318744081,0.6148351627834645,0.38641788536677496,0.3955441959576148,0.03179723502304147,0.3882908404112726,0.35466666665405455,0.3146796431032399,0.12345679012345911,0.6923076923076934,0.056091148115687994,0.38161394176961605,0.03179723502304147,0.2626592616861525,0.08666017526768194,0.43009118541489366,0.21039290240821162,0.17419354838709666,0.4862385321100917,0.029449659488312168
sj,1990,19,5,1990-05-07,0.6299426278234664,0.6570633805462014,0.3211901981055692,0.3592325472082608,0.05842293906810036,0.4727101037950021,0.44177777776206995,0.4892133008351891,0.19135802469135754,0.7307692307692335,0.031446099912357584,0.47966825308075367,0.05842293906810036,0.4181639987004542,0.06913339824746634,0.5653495440744685,0.16349809885954836,0.32258064516129004,0.6880733944954125,0.01582919197496779
sj,1990,20,4,1990-05-14,0.47944084405205245,0.6908807696979535,0.31187879236749644,0.3844300191785097,0.08842805939580133,0.5480642114465724,0.496000000017915,0.6575831305378372,0.16666666666666785,0.8000000000000043,0.04574934268185802,0.594414893618497,0.08842805939580133,0.5868997059842973,0.06426484907503272,0.5653495440744685,0.1736375158425636,0.3548387096774195,0.7431192660550456,0.07620099392600774
sj,1990,21,3,1990-05-21,0.5848230349403585,0.770065542147715,0.43891210656620483,0.4911496119341233,0.03932411674347158,0.5752596789074715,0.5395555555719227,0.6434712084289274,0.22222222222222143,0.7769230769230795,0.024364592462751973,0.5523866181405177,0.03932411674347158,0.5668082326111838,0.07302823758514057,0.6458966565319151,0.19898605830187588,0.42580645161290276,0.7889908256880731,0.007362414872078042
sj,1990,22,6,1990-05-28,0.6586981448099407,0.7888824140175279,0.48160056223405695,0.5099433636068776,0.019252432155657962,0.6455146364927558,0.5937777777033304,0.7015409569619067,0.2530864197530853,0.8153846153846196,0.021384750219106047,0.5553961366186078,0.019252432155657962,0.6282260699144533,0.11295034079868699,0.8024316109468086,0.42965779467700504,0.5354838709677416,0.8440366972477062,0.01067550156451316
sj,1990,23,2,1990-06-04,0.5997586695060629,0.692949128670972,0.48722358891379564,0.40231429785403094,0.02452636968766001,0.6602455146236181,0.6062222221473306,0.7049472829960237,0.2839506172839492,0.8615384615384656,0.046432953549517965,0.5414683650613716,0.02452636968766001,0.628552760543333,0.05063291139249135,0.7142857142872341,0.21419518377728586,0.4967741935483869,0.8440366972477062,0.07196760537456286
sj,1990,24,4,1990-06-11,0.567620784925024,0.6028366379705151,0.3983130342184546,0.4491227055783067,0.00890937019969278,0.6043437204572015,0.5386666665763968,0.7065693430933777,0.2160493827160508,0.8307692307692349,0.06765994741454864,0.5931201007843017,0.00890937019969278,0.6310029402199135,0.046738072054817115,0.6398176291808513,0.19898605830187588,0.3548387096774195,0.7889908256880731,0.05466593042517946
sj,1990,25,5,1990-06-18,0.5234488120636719,0.5805418962128153,0.30153551437964987,0.3223858467822015,0.3868919610855095,0.6551463644251285,0.5768888889039303,0.7821573397693768,0.17283950617284205,0.8846153846153868,0.05258545135845749,0.6268197088466265,0.3868919610855095,0.7159425024480821,0.014605647517300757,0.7416413373829789,0.28010139416954616,0.4645161290322579,0.7431192660550456,0.038836738450211676
sj,1990,26,10,1990-06-25,0.5561951137269763,0.6614564331092949,0.25477175012918263,0.30691578165192457,0.04946236559139785,0.6534466478244951,0.5804444443882488,0.7648012976928555,0.2654320987654337,0.8307692307692349,0.06574934268185802,0.6119470884669527,0.04946236559139785,0.6945442665823169,0.03602726387519059,0.7370820668723406,0.25348542458780055,0.4645161290322579,0.7431192660550456,0.038836738450211676
sj,1990,27,6,1990-07-02,0.5997586695060629,0.6344117032677502,0.3181680672714985,0.4364811457699316,0.036891961085509475,0.7295561850322869,0.6702222222339458,0.7957826439058522,0.27777777777777857,0.9076923076923116,0.04978089395267309,0.5755179171330045,0.036891961085509475,0.726723293041043,0.04479065238598001,0.7370820668723406,0.1761723700892045,0.4645161290322579,0.8899082568807337,0.0020246640898214617
sj,1990,28,8,1990-07-09,0.6550627039741983,0.5913597881494332,0.3746088612855489,0.35503696106136395,0.05701484895033282,0.6447592068043377,0.5848888888680932,0.7265206812121079,0.24691358024691468,0.8538461538461561,0.07663453111305872,0.5800671892491112,0.05701484895033282,0.6520744854682328,0.05452775073016558,0.6550151975638299,0.233206590620883,0.32258064516129004,0.642201834862385,0.11724645683784282
sj,1990,29,2,1990-07-16,0.7630052292399654,0.7335299517225489,0.5718780993971211,0.5646244636193081,0.15148489503328214,0.6651558073339032,0.6044444444051749,0.7597729115613916,0.2592592592592595,0.8000000000000043,0.07169149868536372,0.5966545352751296,0.15148489503328214,0.6885004900337937,0.0720545277510628,0.7158054711276596,0.21039290240821162,0.39354838709677376,0.8440366972477062,0.022455365359838025
sj,1990,30,6,1990-07-23,0.6088042614145461,0.6894895997775359,0.4377256791728078,0.4561545086168095,0.04219150025601639,0.6508026440472463,0.5902222222190119,0.7172749391681634,0.24691358024691468,0.7846153846153889,0.07454864154250658,0.56232502799703,0.04219150025601639,0.6432538386142492,0.04868549172365422,0.7142857142872341,0.16223067173622785,0.32258064516129004,0.7431192660550456,0.060003681207436044
